Name,Label,levenshtein_real,levenshtein_fictional,fuzzy_real,fuzzy_fictional,double_metaphone_real,double_metaphone_fictional,is_dictionary_word
Whizzer,1.0,6,0,50.0,100.0,0,1,1
Wonder Girl,1.0,7,0,56.00000000000001,100.0,0,1,1
Yellowjacket,1.0,7,0,61.53846153846154,100.0,0,1,0
Baron Zemo,1.0,5,0,60.0,100.0,0,1,1
Fictional Old Etonians,1.0,13,0,52.63157894736843,100.0,0,1,1
Forbes Fictional 15,1.0,11,0,51.61290322580645,100.0,0,1,1
next page,1.0,4,0,62.5,100.0,0,1,1
Abdurrahman Alp,1.0,9,0,58.82352941176471,100.0,0,1,1
Mikasa Ackerman,1.0,7,0,62.06896551724138,100.0,0,1,0
Rachel Amber,1.0,6,0,69.56521739130434,100.0,0,1,1
Anya,1.0,4,0,54.54545454545454,100.0,0,1,0
Artuk Bey,1.0,6,0,54.54545454545454,100.0,0,1,1
Auld Jock,1.0,5,0,58.82352941176471,100.0,0,1,1
Beth Bailey,1.0,5,0,61.53846153846154,100.0,0,1,1
Rocky Balboa,1.0,5,0,64.0,100.0,0,1,1
Avon Barksdale,1.0,7,0,64.0,100.0,0,1,0
Norman Bates,1.0,4,0,72.0,100.0,0,1,0
Tim Bayliss,1.0,6,0,54.54545454545454,100.0,0,1,0
Belacqua,1.0,5,0,63.1578947368421,100.0,0,1,0
Stringer Bell,1.0,7,0,60.0,100.0,0,1,1
Shirley Bellinger,1.0,7,0,66.66666666666667,100.0,0,1,0
Elaine Benes,1.0,5,0,66.66666666666667,100.0,0,1,1
Joe Biden,1.0,5,0,57.14285714285714,100.0,0,1,1
Birch Barlow,1.0,5,0,58.33333333333333,100.0,0,1,1
Stanley Bolander,1.0,6,0,66.66666666666667,100.0,0,1,0
Charles Bovary,1.0,6,0,66.66666666666667,100.0,0,1,0
Sally Bowles,1.0,6,0,63.63636363636363,100.0,0,1,1
Kyle Broflovski,1.0,8,0,57.14285714285714,100.0,0,1,1
Bubbles,1.0,5,0,55.55555555555556,100.0,0,1,0
Daisy Buchanan,1.0,8,0,57.14285714285714,100.0,0,1,1
Buffalo Bill,1.0,7,0,52.17391304347826,100.0,0,1,1
Mr. Burns,1.0,6,0,52.63157894736843,100.0,0,1,0
Canute,1.0,5,0,58.82352941176471,100.0,0,1,0
Henry Wilfrid Carr,1.0,10,0,58.06451612903225,100.0,0,1,1
Mick Carter,1.0,5,0,63.63636363636363,100.0,0,1,1
Stan Carter,1.0,5,0,66.66666666666667,100.0,0,1,1
Eric Cartman,1.0,6,0,66.66666666666667,100.0,0,1,1
Celedón,1.0,5,0,52.63157894736843,100.0,0,1,0
Piper Chapman,1.0,7,0,64.28571428571428,100.0,0,1,1
Charlie Chan,1.0,5,0,69.23076923076923,100.0,0,1,0
Charlie the Tuna,1.0,6,0,64.51612903225806,100.0,0,1,1
Le Chiffre,1.0,7,0,54.54545454545454,100.0,0,1,0
Jackie Chiles,1.0,6,0,61.53846153846154,100.0,0,1,0
Chang Chong-Chen,1.0,8,0,59.25925925925925,100.0,0,1,1
Chuck Billy,1.0,6,0,57.14285714285714,100.0,0,1,1
Stephen Colbert,1.0,6,0,60.0,100.0,0,1,0
George Costanza,1.0,7,0,62.06896551724138,100.0,0,1,0
